"code commune insee","nom de_la_commune","first_postal","libelle_d_acheminement","ligne_5","_geopoint"
"49217","MONTREUIL SUR MAINE","49220","MONTREUIL SUR MAINE",,"47.657889749999995,-0.7123524"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","CHAUDRON EN MAUGES","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","LA BOISSIERE SUR EVRE","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","LA SALLE ET CHAPELLE AUBRY","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","MONTREVAULT","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","ST PIERRE MONTLIMART","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","ST QUENTIN EN MAUGES","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49110","MONTREVAULT SUR EVRE","ST REMY EN MAUGES","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49270","MONTREVAULT SUR EVRE","LE FUILET","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49600","MONTREVAULT SUR EVRE","LA CHAUSSAIRE","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49600","MONTREVAULT SUR EVRE","LE FIEF SAUVIN","47.2494156,-1.0204388500000001"
"49218","MONTREVAULT SUR EVRE","49600","MONTREVAULT SUR EVRE","LE PUISET DORE","47.2494156,-1.0204388500000001"
"49219","MONTSOREAU","49730","MONTSOREAU",,"47.213048549999996,0.0559094"
"49220","MORANNES SUR SARTHE DAUMERAY","49640","MORANNES SUR SARTHE DAUMERAY","CHEMIRE SUR SARTHE","47.718054949999996,-0.381596"
"49220","MORANNES SUR SARTHE DAUMERAY","49640","MORANNES SUR SARTHE DAUMERAY","DAUMERAY","47.718054949999996,-0.381596"
"49220","MORANNES SUR SARTHE DAUMERAY","49640","MORANNES SUR SARTHE DAUMERAY","MORANNES SUR SARTHE","47.718054949999996,-0.381596"
"49221","MOULIHERNE","49390","MOULIHERNE",,"47.4503076,0.01758005"
"49222","MOZE SUR LOUET","49610","MOZE SUR LOUET",,"47.3640143,-0.57070095"
"49223","MURS ERIGNE","49610","MURS ERIGNE",,"47.3947553,-0.5528697"
"49224","NEUILLE","49680","NEUILLE",,"47.332066049999995,-0.0175394"
"49228","NOYANT VILLAGES","49390","NOYANT VILLAGES","PARCAY LES PINS","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","AUVERSE","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","BREIL","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","BROC","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","CHALONNES SOUS LE LUDE","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","CHAVAIGNES","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","CHIGNE","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","DENEZE SOUS LE LUDE","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","GENNETEIL","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","LASSE","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","LINIERES BOUTON","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","MEIGNE LE VICOMTE","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","MEON","47.51110435,0.10267865"
"49228","NOYANT VILLAGES","49490","NOYANT VILLAGES","NOYANT","47.51110435,0.10267865"
"49231","NUAILLE","49340","NUAILLE",,"47.0823847,-0.7742839"
"49235","PARNAY","49730","PARNAY",,"47.22087485,0.00511785"
"49236","PASSAVANT SUR LAYON","49560","PASSAVANT SUR LAYON",,"47.10132735,-0.38518415"
"49237","LA PELLERINE","49490","LA PELLERINE",,"47.4577775,0.13474935"
"49240","LA PLAINE","49360","LA PLAINE",,"47.06551555,-0.62935725"
"49241","LE PLESSIS GRAMMOIRE","49124","LE PLESSIS GRAMMOIRE",,"47.494120949999996,-0.43645995000000004"
"49244","MAUGES SUR LOIRE","49110","MAUGES SUR LOIRE","BOTZ EN MAUGES","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49290","MAUGES SUR LOIRE","BOURGNEUF EN MAUGES","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49290","MAUGES SUR LOIRE","ST LAURENT DE LA PLAINE","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49410","MAUGES SUR LOIRE","BEAUSSE","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49410","MAUGES SUR LOIRE","LA CHAPELLE ST FLORENT","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49410","MAUGES SUR LOIRE","LE MARILLAIS","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49410","MAUGES SUR LOIRE","LE MESNIL EN VALLEE","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49410","MAUGES SUR LOIRE","ST FLORENT LE VIEIL","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49410","MAUGES SUR LOIRE","ST LAURENT DU MOTTAY","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49570","MAUGES SUR LOIRE","MONTJEAN SUR LOIRE","47.3434942,-0.93510455"
"49244","MAUGES SUR LOIRE","49620","MAUGES SUR LOIRE","LA POMMERAYE","47.3434942,-0.93510455"
"49246","LES PONTS DE CE","49130","LES PONTS DE CE",,"47.4269669,-0.5110405499999999"
"49246","LES PONTS DE CE","49130","LES PONTS DE CE","SORGES","47.4269669,-0.5110405499999999"
"49247","LA POSSONNIERE","49170","LA POSSONNIERE",,"47.384790249999995,-0.7058528"
"49248","OMBREE D ANJOU","49420","OMBREE D ANJOU","CHAZE HENRY","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49420","OMBREE D ANJOU","LA CHAPELLE HULLIN","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49420","OMBREE D ANJOU","LA PREVIERE","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49420","OMBREE D ANJOU","POUANCE","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49420","OMBREE D ANJOU","ST MICHEL ET CHANVEAUX","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49420","OMBREE D ANJOU","VERGONNES","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49520","OMBREE D ANJOU","BEL AIR","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49520","OMBREE D ANJOU","COMBREE","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49520","OMBREE D ANJOU","GRUGE L HOPITAL","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49520","OMBREE D ANJOU","LE TREMBLAY","47.7238343,-1.1086604"
"49248","OMBREE D ANJOU","49520","OMBREE D ANJOU","NOELLET","47.7238343,-1.1086604"
"49253","LE PUY NOTRE DAME","49260","LE PUY NOTRE DAME",,"47.114247199999994,-0.2280781"
"49257","LES RAIRIES","49430","LES RAIRIES",,"47.64989245,-0.21572175"
"49259","ROCHEFORT SUR LOIRE","49190","ROCHEFORT SUR LOIRE",,"47.34621975,-0.6593795"
"49260","LA ROMAGNE","49740","LA ROMAGNE",,"47.0559166,-1.0082220499999999"
"49261","GENNES VAL DE LOIRE","49160","GENNES VAL DE LOIRE","ST MARTIN DE LA PLACE","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49320","GENNES VAL DE LOIRE","GREZILLE","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49350","GENNES VAL DE LOIRE","CHENEHUTTE LES TUFFEAUX","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49350","GENNES VAL DE LOIRE","GENNES","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49350","GENNES VAL DE LOIRE","LES ROSIERS SUR LOIRE","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49350","GENNES VAL DE LOIRE","LE THOUREIL","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49350","GENNES VAL DE LOIRE","ST GEORGES DES SEPT VOIES","47.3424112,-0.23517155"
"49261","GENNES VAL DE LOIRE","49350","GENNES VAL DE LOIRE","TREVES CUNAULT","47.3424112,-0.23517155"
"49262","ROU MARSON","49400","ROU MARSON",,"47.246128299999995,-0.15289235"
"49266","ST AUGUSTIN DES BOIS","49170","ST AUGUSTIN DES BOIS",,"47.45483985,-0.80419585"
"49267","ST BARTHELEMY D ANJOU","49124","ST BARTHELEMY D ANJOU",,"47.4740663,-0.4825838"
"49269","ST CHRISTOPHE DU BOIS","49280","ST CHRISTOPHE DU BOIS",,"47.030881550000004,-0.9709913"
"49271","ST CLEMENT DE LA PLACE","49370","ST CLEMENT DE LA PLACE",,"47.52643335,-0.7327790000000001"
"49272","ST CLEMENT DES LEVEES","49350","ST CLEMENT DES LEVEES",,"47.3495063,-0.18033665"
"49278","STE GEMMES SUR LOIRE","49130","STE GEMMES SUR LOIRE",,"47.429648,-0.570193"
"49283","ST GEORGES SUR LOIRE","49170","ST GEORGES SUR LOIRE",,"47.4030674,-0.7536733"
"49284","ST GERMAIN DES PRES","49170","ST GERMAIN DES PRES",,"47.409885700000004,-0.8081703"
"49288","ST JEAN DE LA CROIX","49130","ST JEAN DE LA CROIX",,"47.4111375,-0.5820738"
"49291","ST JUST SUR DIVE","49260","ST JUST SUR DIVE",,"47.171810699999995,-0.10268435000000001"
"49292","VAL DU LAYON","49190","VAL DU LAYON","ST AUBIN DE LUIGNE","47.3135369,-0.6528919"
"49292","VAL DU LAYON","49750","VAL DU LAYON","ST LAMBERT DU LATTAY","47.3135369,-0.6528919"
"49294","ST LAMBERT LA POTHERIE","49070","ST LAMBERT LA POTHERIE",,"47.487047950000004,-0.6903606"
"49298","ST LEGER DE LINIERES","49070","ST LEGER DE LINIERES","ST JEAN DE LINIERES","47.46093085,-0.7068913"
"49298","ST LEGER DE LINIERES","49170","ST LEGER DE LINIERES","ST LEGER DES BOIS","47.46093085,-0.7068913"
"49299","ST LEGER SOUS CHOLET","49280","ST LEGER SOUS CHOLET",,"47.10215865,-0.9007438999999999"
"49301","SEVREMOINE","49230","SEVREMOINE","MONTFAUCON MONTIGNE","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49230","SEVREMOINE","ST CRESPIN SUR MOINE","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49230","SEVREMOINE","ST GERMAIN SUR MOINE","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49230","SEVREMOINE","TILLIERES","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49450","SEVREMOINE","LA RENAUDIERE","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49450","SEVREMOINE","ROUSSAY","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49450","SEVREMOINE","ST ANDRE DE LA MARCHE","47.08782465,-1.0967942000000002"
"49301","SEVREMOINE","49450","SEVREMOINE","ST MACAIRE EN MAUGES","47.08782465,-1.0967942000000002"
